"temperature","tn_mg_l","tp_mg_l","n_ox_mg_l","po4_3_mg_l","nh4_mg_l","al_mg_l","as_mg_l","cd_mg_l","co_mg_l","cr_mg_l","cu_mg_l","fe_mg_l","mo_mg_l","mn_mg_l","ni_mg_l","pb_mg_l","sb_mg_l","se_mg_l","u_mg_l","v_mg_l","zn_mg_l"
200,"119.33388599971661","73.060684716955691","0.73571770838963402","22.807284266042092","48047.39602686069",1.29027517542364,3.94888936122565,9.082445530819,6.62635438825769,1.32206281205891,1.87940415888281,0.260158419602304,4.91971523080703,13.2946964981436,5.27766420426191,0.151374092180317,4.5412227654095,11.0500683423868,4.5412227654095,0.346305578236904,3.62600064559784
200,"21.226057018030208","40.720491210337286","0.3432073895950159","13.866978087844592","21301.879450562283",1.20062311346189,3.83435570033298,9.1345966769135,5.51881882563524,0.981521368421294,4.73984072013178,0.249404340902866,1.00398269782293,23.6049626274858,0.493277715547403,0.190304097435698,9.1345966769135,35.3204404840655,3.6538386707654,1.34091194808538,0.201711533628906
200,"26.481334735689483","18.496441281138793","0.71445243275173964","8.6316725978647675","4699.4661921708184",0.800427787663108,1.68979833926453,9.59074733096085,4.36911822854883,0.70568955669786,3.40928232502966,0.115971925662317,0.853721826809015,16.1818925266904,2.88521648873072,0.159845788849348,9.59074733096085,44.7568208778173,5.03514234875445,0.773990135481051,1.80803347831818
200,"20.348290426163537","15.481897563570167","0.42447218053617258","135.34133851724678","219.63298902046387",0.925679297203801,1.95394727984194,9.1647143939836,3.79046336465058,0.432553300199799,2.56680572052839,0.0809496452501189,0.788399284727052,12.4867884775963,3.60451665234762,0.183294287879672,4.5823571969918,40.9352282798504,3.36039527779399,0.93598875756392,2.6002332004862
200,"60.20075214026744","137.42434847436957","0.32565395598040986","NR","NR",2.76037192800429,70.5446909460496,9.65654438914132,0.926838887355686,3.78214655241369,1.44127528196139,0.00871386645675903,11.8330988387573,32.0214271536969,6.0590082441671,0.153494693151262,10.8904361721983,11.8453611173467,3.9833245605208,8.070725210569,0.201711533628906
200,"51.374296845725283","140.36069741175328","0.29334089248330791","1.7589059826034243","175850.72972473677",2.6002438977608,55.7499651586013,9.79124330315906,0.926838887355686,2.4750087238541,4.24716650299312,0.00871386645675903,10.4783480963632,1.69675262238183,0.493277715547403,0.153494693151262,11.5319087792762,24.543383213252,3.48133095223433,6.80817784346327,0.201711533628906
200,"16.267541433113063","23.056277150854335","0.33181700621935645","1.9696317164046417","26983.954514743589",1.18849942957081,32.2211547452862,9.84815858202321,6.51619826177202,1.0403695732804,1.46987441522734,0.00871386645675903,8.43406401639936,12.4637933613771,2.41376435833902,0.376221788526729,23.3073086441216,5.94172234448734,2.29790366913875,5.21759303698563,4.2778341134723
500,"5.4998927958833628","0.28534824132308406","3.4506863207547172","3.2217528534824131","139.60377358490564",6.34104693678955,18.3915245934855,7.1817358490566,0.0557835674027921,6.64716438902202,0.768217465516446,7.89535472351861e-05,13.3408155805615,0.101375125061029,0.153464961028585,0.0259972338427388,9.9679657877793,36.5959636437411,3.37499356101581,60.6969679438925,0.872184065231827
500,"4.3269758570963397","0.81480051480051474","2.4753077057263808","2.4275414414414418","9.9193754979469286",7.23453256074183,15.4346111468765,4.20517650303365,0.0335370744592847,0.761646774255334,4.95493459033091,2.74127326771502e-05,13.3408155805615,0.0177482634666973,0.0638607013839026,0.0238189363624293,9.9679657877793,13.6683854324499,12.8176161973821,64.4697992910416,0.0447754250465558
500,"3.6276176653535144","3.3640727922295413","1.8669635081899232","3.2685765323210898","61.907850119585447",4.3648518162049,39.3826923354125,5.53760640631856,0.049279196082719,6.37178859167841,0.787814972611077,8.23989321873043e-05,1026.2826354717,0.118149556751955,0.0666061749571184,0.0221937809182308,9.9679657877793,31.300195079672,3.37499356101581,111.79215775918,0.0170975138559416
500,"1.8662176068855836","45.186586214773136","0.96055318001463852","1.6921970669891688","39959.012288608952",1.17471063413187,5.13992524839197,9.60553180014638,9.60553180014638,7.0760750927745,1.50102251060724,0.00160092196669106,250.384195590482,0.23029656160187,0.480276590007319,0.640368786676426,9.60553180014638,29.0727429151097,9.60553180014638,118.276114899136,0.208815908698834
500,"2.2037499785799026","65.881498311424352","0.37422169447583253","1.3190467726437864","32133.16949899149",1.17471063413187,5.13992524839197,9.56344330327128,9.56344330327128,0.761646774255334,1.50102251060724,0.0428905942086106,295.19161662764,0.704674769714726,0.478172165163564,0.153494693151262,22.3147010409663,24.9287088771938,9.56344330327128,135.737138617764,0.434701968330513
